,DATE,TIME,RESULT,TEMP,RAIN
0,2020/1/1,0:00,2857,3.7,0
1,2020/1/1,1:00,2703,3.7,0
2,2020/1/1,2:00,2602,3.5,0
3,2020/1/1,3:00,2520,3.6,0
4,2020/1/1,4:00,2464,4,0
5,2020/1/1,5:00,2469,4.2,0
6,2020/1/1,6:00,2585,4.1,0
7,2020/1/1,7:00,2763,3.8,0
8,2020/1/1,8:00,2917,4.4,0
9,2020/1/1,9:00,2859,5.2,0
10,2020/1/1,10:00,2718,5.8,0
11,2020/1/1,11:00,2595,7,0
12,2020/1/1,12:00,2520,9.4,0
13,2020/1/1,13:00,2449,8.7,0
14,2020/1/1,14:00,2432,9.6,0
15,2020/1/1,15:00,2503,8.8,0
16,2020/1/1,16:00,2717,7.9,0
17,2020/1/1,17:00,3019,5.6,0
18,2020/1/1,18:00,3089,5.5,0
19,2020/1/1,19:00,3105,5.5,0
20,2020/1/1,20:00,3107,4.9,0
21,2020/1/1,21:00,3075,4.3,0
22,2020/1/1,22:00,2963,5,0
23,2020/1/1,23:00,2843,4.3,0
24,2020/1/2,0:00,2640,4.1,0
25,2020/1/2,1:00,2514,4.7,0
26,2020/1/2,2:00,2468,4.2,0
27,2020/1/2,3:00,2441,3.1,0
28,2020/1/2,4:00,2435,3.2,0
29,2020/1/2,5:00,2487,3,0
30,2020/1/2,6:00,2658,2.5,0
31,2020/1/2,7:00,2863,2,0
32,2020/1/2,8:00,3010,4.7,0
33,2020/1/2,9:00,2961,6.9,0
34,2020/1/2,10:00,2865,7.3,0
35,2020/1/2,11:00,2773,8.2,0
36,2020/1/2,12:00,2687,9.3,0
37,2020/1/2,13:00,2583,9.4,0
38,2020/1/2,14:00,2541,10.9,0
39,2020/1/2,15:00,2600,10.2,0
40,2020/1/2,16:00,2808,9,0
41,2020/1/2,17:00,3107,6.4,0
42,2020/1/2,18:00,3187,6.2,0
43,2020/1/2,19:00,3196,5.9,0
44,2020/1/2,20:00,3184,7.4,0
45,2020/1/2,21:00,3128,7,0
46,2020/1/2,22:00,2999,6.3,0
47,2020/1/2,23:00,2868,5.6,0
48,2020/1/3,0:00,2653,4.9,0
49,2020/1/3,1:00,2525,4,0
50,2020/1/3,2:00,2478,3.1,0
51,2020/1/3,3:00,2457,3.7,0
52,2020/1/3,4:00,2449,2.6,0
53,2020/1/3,5:00,2503,1.9,0
54,2020/1/3,6:00,2670,1.9,0
55,2020/1/3,7:00,2892,2,0
56,2020/1/3,8:00,3074,3.5,0
57,2020/1/3,9:00,3034,5.7,0
58,2020/1/3,10:00,2908,7.1,0
59,2020/1/3,11:00,2777,8.5,0
60,2020/1/3,12:00,2693,10.1,0
61,2020/1/3,13:00,2629,11.6,0
62,2020/1/3,14:00,2603,11.5,0
63,2020/1/3,15:00,2647,10.9,0
64,2020/1/3,16:00,2845,9.3,0
65,2020/1/3,17:00,3159,7.3,0
66,2020/1/3,18:00,3251,6.5,0
67,2020/1/3,19:00,3263,6.4,0
68,2020/1/3,20:00,3239,6.2,0
69,2020/1/3,21:00,3168,5.8,0
70,2020/1/3,22:00,3021,5.9,0
71,2020/1/3,23:00,2874,5.6,0
72,2020/1/4,0:00,2662,6.3,0
73,2020/1/4,1:00,2535,4.3,0
74,2020/1/4,2:00,2481,4.8,0
75,2020/1/4,3:00,2448,4.6,0
76,2020/1/4,4:00,2442,5,0
77,2020/1/4,5:00,2506,4.5,0
78,2020/1/4,6:00,2704,4.7,0
79,2020/1/4,7:00,2942,4.8,0
80,2020/1/4,8:00,3179,5.9,0
81,2020/1/4,9:00,3229,7.6,0
82,2020/1/4,10:00,3143,8.9,0
83,2020/1/4,11:00,3055,9.8,0
84,2020/1/4,12:00,2990,10.6,0
85,2020/1/4,13:00,2929,10.7,0
86,2020/1/4,14:00,2936,11.5,0
87,2020/1/4,15:00,2999,10.7,0
88,2020/1/4,16:00,3203,9.9,0
